state,grade,count,percent,geoid,name,region,area,total_pop_10,total_pop_15
AL,D,34,28.8135593220339,01,Alabama,South,133709.272642372,4712651,4830620
AR,D,8,11.11111111111111,05,Arkansas,South,137689.869879808,2872684,2958208
AZ,D,8,30.76923076923077,04,Arizona,West,295281.254837427,6246816,6641928
CA,D,155,17.633674630261662,06,California,West,409747.075055193,36637290,38421464
CO,D,26,21.84873949579832,08,Colorado,West,269573.057693748,4887061,5278906
CT,D,21,11.351351351351353,09,Connecticut,Norteast,12976.5882142576,3545837,3593222
FL,D,34,16.748768472906402,12,Florida,South,151052.005156211,18511620,19645772
GA,D,73,30.672268907563026,13,Georgia,South,152725.213500135,9468815,10006693
IA,D,33,22,46,South Dakota,Midwest,199766.833747597,799462,843190
IA,D,33,22,19,Iowa,Midwest,145743.680633249,3016267,3093526
IL,D,216,23.35135135135135,17,Illinois,Midwest,145993.10660939,12745359,12873761
IN,D,84,27.54098360655738,18,Indiana,Midwest,93648.3950219327,6417398,6568645
KS,D,33,36.26373626373626,20,Kansas,Midwest,213037.083282151,2809329,2892987
KY,D,27,19.852941176470587,21,Kentucky,South,104457.818653545,4285828,4397353
LA,D,59,36.19631901840491,22,Louisiana,South,122345.762695332,4429940,4625253
MA,D,79,16.122448979591837,25,Massachusetts,Norteast,20910.7502365426,6477096,6705586
MD,D,9,15,24,Maryland,South,26848.7214568388,5696423,5930538
ME,D,1,3.571428571428571,23,Maine,Norteast,85519.75525011,1327665,1329100
MI,D,146,25.704225352112676,26,Michigan,Midwest,151119.012715939,9952687,9900571
MN,D,35,20.833333333333336,27,Minnesota,Midwest,218566.490949372,5241914,5419171
MO,D,79,24.6875,29,Missouri,Midwest,180716.28959038,5922314,6045448
MS,D,6,23.076923076923077,28,Mississippi,South,123744.744011315,2941991,2988081
NC,D,30,18.072289156626507,37,North Carolina,South,129232.747590632,9271178,9845333
ND,D,5,18.51851851851852,38,North Dakota,Midwest,183177.829746362,659858,721640
NE,D,5,15.151515151515152,31,Nebraska,Midwest,200272.337153375,1799125,1869365
NH,D,11,40.74074074074074,33,New Hampshire,Norteast,24026.4792614893,1313939,1324201
NJ,D,128,18.71345029239766,34,New Jersey,Norteast,20273.6710592498,8721577,8904413
NY,D,199,22.334455667789,36,New York,Norteast,127202.002502651,19229752,19673174
OH,D,131,18.34733893557423,39,Ohio,Midwest,107051.35973675,11512431,11575977
OK,D,37,25.517241379310345,40,Oklahoma,South,180971.397463298,3675339,3849733
OR,D,9,9.574468085106384,41,Oregon,West,251346.240481979,3761925,3939233
PA,D,147,26.6304347826087,42,Pennsylvania,Norteast,117242.458297633,12612705,12779559
RI,D,8,14.545454545454545,44,Rhode Island,Norteast,2743.05658478368,1056389,1053661
SC,D,7,8.045977011494253,45,South Carolina,South,80903.5815515015,4511428,4777576
TN,D,26,18.84057971014493,47,Tennessee,South,109113.899859012,6234968,6499615
TX,D,72,25.806451612903224,48,Texas,South,687714.281104593,24311891,26538614
UT,D,18,32.72727272727273,49,Utah,West,219859.796916458,2657236,2903379
VA,D,69,21.5625,51,Virginia,South,105404.661542936,7841754,8256630
WA,D,30,18.072289156626507,53,Washington,West,175436.047636222,6561297,6985464
WI,D,64,26.337448559670783,55,Wisconsin,Midwest,144954.350033622,5637947,5742117
WV,D,25,22.93577981651376,54,West Virginia,South,62813.302890542,1840802,1851420
